,Protein,0mo_NPX,3mo_NPX,6mo_NPX,12mo_NPX,18mo_NPX,24mo_NPX,30mo_NPX,36mo_NPX,48mo_NPX,54mo_NPX,60mo_NPX
214,Q9UBX5,35181.9,37001.2,34396.1,34461.55,37775.0,34939.0,38473.9,36572.5,35102.25,32108.6,35341.55
215,Q9UHG2,223533.0,197082.0,214486.0,204259.5,257908.5,218226.0,176611.0,212117.0,221822.0,378324.0,204471.5
216,Q9UNU6,20125.1,35530.2,19567.050000000003,19151.550000000003,25337.9,19447.1,13369.9,18864.5,17969.95,12189.8,17722.5
217,Q9Y646,19501.0,17944.0,19516.0,19141.9,24662.3,19282.2,13182.8,19770.9,20107.35,19351.9,19946.55
218,Q9Y6R7,17662.3,28001.4,18224.3,19076.15,23655.6,19875.9,15390.7,19811.3,21245.65,35099.3,18154.4
219,P01594,12505.05,19374.9,11798.3,12990.5,13228.3,12262.75,15120.7,12976.85,12637.25,9124.3,13106.7
220,P02792,16164.8,17666.2,15823.05,15886.7,21956.15,15867.2,17470.8,16080.2,15589.4,17138.2,16732.0
221,P32754,65700.5,74421.5,68307.0,71535.45,87571.4,65819.2,64826.6,68240.2,68464.4,101742.0,65328.0
222,P60174,15132.45,18506.5,15147.2,14744.6,14282.6,15625.6,15334.7,14407.9,15142.4,,13998.7
223,Q13449,28445.1,20062.949999999997,27203.6,23890.2,31850.4,25838.050000000003,18405.2,25113.85,25085.6,43731.049999999996,23985.4
224,Q99683,99488.5,109375.2,99451.25,98918.45000000001,112491.5,103043.0,111800.0,99494.15,105991.0,92596.9,100258.0
225,Q99829,14624.900000000001,12973.4,14113.7,13809.1,19092.7,16332.8,12727.1,13833.25,14405.7,24383.6,14211.6
226,Q9UKV8,68121.4,103992.0,70462.95,66724.8,63570.0,65029.0,96401.4,67530.0,65102.6,80706.25,65115.95
